Name	Description	Link	Google Link
India Food Banking Network	IFBN helps corporates to prioritize food security and nutrition and to use the ... The India Food Banking Network (IFBN) is evolving an ecosystem for food security ...	https://www.indiafoodbanking.org/	https://www.indiafoodbanking.org/
U.S. Hunger Relief Organization | Feeding America®	1 in 8 people struggle with hunger in the U.S. Feeding America is a hunger organization with a nationwide network of food banks feeding the hungry.	http://www.feedingamerica.org/	www.feedingamerica.org/
The Global FoodBanking Network – Empowering the World to Defeat ...	Our mission is to alleviate global hunger by developing food banks in communities where they are needed and by supporting food banks where they exist.	https://www.foodbanking.org/	https://www.foodbanking.org/
September 1, 2017 – NATIONAL FOOD BANK DAY – NATIONAL ...	2 days ago - SEPTEMBER 1, 2017 | NATIONAL FOOD BANK DAY | NATIONAL CHICKEN BOY DAY | NATIONAL NO RHYME (NOR REASON) DAY ...	https://nationaldaycalendar.com/2017/08/31/september-1-2017-national-food-bank-day-national-chicken-boy-day-national-no-rhyme-nor-reason-day-national-lazy-moms-day/	https://nationaldaycalendar.com/.../september-1-2017-national-food-bank-day-nation...
Food bank - Wikipedia	A food bank or foodbank is a non-profit, charitable organization that distributes food to those ..... We need ongoing national survey monitoring to understand the scale of food insecurity, who is at risk, and the implications for child and adult health ...	https://en.wikipedia.org/wiki/Food_bank	https://en.wikipedia.org/wiki/Food_bank
The Trussell Trust - Stop UK Hunger	Our network of foodbanks provides emergency food and support to people in ... 4 in 5 foodbank users go hungry multiple times a year - with price rises and ...	https://www.trusselltrust.org/	https://www.trusselltrust.org/
Regional Food Bank: Homepage	Fight Hunger · I NEED FOOD. NEWS FEED. If you want to help with Hurricane Harvey relief efforts, please make financial donations to @FeedingAmerica at.	https://www.regionalfoodbank.org/	https://www.regionalfoodbank.org/
Food Banks Canada - Home	Food Banks represents the food banking community in Canada and is here for Canadians in need.	https://www.foodbankscanada.ca/	https://www.foodbankscanada.ca/
The Food Bank Singapore	Welcome to The Food Bank Singapore! ... there are some people out there who have not eaten because they simply do not have enough to put food on the table.	http://www.foodbank.sg/	www.foodbank.sg/
Washington, DC Metro Area - Capital Area Food Bank – Washington ...	Empty Bowls. Three Empty Bowls events are returning to the Washington metro area this fall! No matter where you live or work, you can help fill the bowls of our ...	https://www.capitalareafoodbank.org/	https://www.capitalareafoodbank.org/
25 of the best foods for food donations | MNN - Mother Nature Network		http://www.mnn.com/food/healthy-eating/blogs/25-of-the-best-foods-for-food-donations	www.mnn.com/food/healthy-eating/blogs/25-of-the-best-foods-for-food-donations
food pantry - | foodbankst.org		https://www.foodbankst.org/food-bank-vs-food-pantry	https://www.foodbankst.org/food-bank-vs-food-pantry
Fighting Hunger in Australia - Foodbank	Foodbank is Australia's largest food relief organisation, providing 60 million meals a year to over 2400 charities and 1000 schools around the country.	https://www.foodbank.org.au/	https://www.foodbank.org.au/
San Antonio Food Bank: Home	Founded in 1980, the San Antonio Food Bank serves one of the largest service areas in Southwest Texas. Our focus is for clients to have food for today but to ...	https://safoodbank.org/	https://safoodbank.org/
Houston Food Bank- Filling Pantries, Filling Lives, Volunteer or ...	Houston Food Bank is Houston's largest food donation foundation. This Food Donation Center and Food Pantry gives aid to Houston's hungry, homeless, ...	http://www.houstonfoodbank.org/	www.houstonfoodbank.org/
National Food Bank Day is Friday, September 1 | The State	3 days ago - Friday, Sept. 1, is National Food Bank Day. Here's how you can do something good in Columbia, SC.	http://www.thestate.com/living/food-drink/article170311932.html	www.thestate.com/living/food-drink/article170311932.html
Northern Illinois Food Bank: Turn $1 into $8	Solving hunger by providing nutritious meals to hungry neighbors in 13 counties. One in seven face hunger. Donate. Volunteer. Get Involved.	http://solvehungertoday.org/	solvehungertoday.org/
North Texas Food Bank	North Texas Food Bank (NTFB) is a hunger relief organization and one of the ... NTFB is a member of Feeding America, a national hunger relief organization.	https://www.ntfb.org/	https://www.ntfb.org/
Los Angeles Regional Food Bank – Fighting Hunger. Giving Hope.	One Billion Meals provided since 1973. Help us reach the next billion.	https://www.lafoodbank.org/	https://www.lafoodbank.org/
